size	K	T	instance	Obj value	CPLEX time (s)	Optimal path
4	6	90	3	434.0	1.1965175	1 5 6 10 11 15 16 
4	6	90	4	396.0	1.0115288	1 5 6 7 11 15 16 
4	6	90	5	413.0	0.9583606	1 5 6 10 14 15 16 
4	6	90	6	406.0	1.0000377	1 2 6 7 11 15 16 
4	6	90	7	508.0	1.5997088	1 5 6 7 11 15 16 
4	6	90	8	451.0	1.1437928	1 5 6 10 14 15 16 
4	6	90	9	408.0	1.3084407	1 2 6 7 8 12 16 
5	2	30	0	43.0	0.0875282	1 2 3 8 9 14 19 20 25 
5	2	30	1	45.0	0.0859244	1 6 7 8 9 14 19 24 25 
5	2	30	2	45.0	0.0919601	1 6 11 12 17 18 19 20 25 
5	2	30	3	47.0	0.0983581	1 6 11 16 17 18 19 24 25 
5	2	30	4	44.0	0.0717548	1 6 7 12 17 22 23 24 25 
5	2	30	5	42.0	0.0618599	1 2 3 8 13 18 19 24 25 
5	2	30	6	44.0	0.0561513	1 6 7 12 17 18 23 24 25 
5	2	30	7	34.0	0.0867018	1 6 11 12 17 18 19 24 25 
5	2	30	8	46.0	0.036926	1 6 7 8 13 18 19 20 25 
5	2	30	9	44.0	0.0720006	1 2 7 8 9 14 15 20 25 
5	2	60	0	79.0	0.1976098	1 2 3 8 9 10 15 20 25 
5	2	60	1	82.0	0.0591108	1 6 11 12 13 14 15 20 25 
5	2	60	2	88.0	0.2278407	1 2 7 12 13 14 19 24 25 
5	2	60	3	89.0	0.1215852	1 6 7 8 13 14 19 20 25 
5	2	60	4	84.0	0.0525843	1 6 7 12 13 18 23 24 25 
5	2	60	5	88.0	0.1809239	1 2 3 4 5 10 15 20 25 
5	2	60	6	94.0	0.0683764	1 2 7 12 13 18 23 24 25 
5	2	60	7	76.0	0.0555235	1 2 3 8 13 18 19 20 25 
5	2	60	8	97.0	0.1629604	1 6 11 12 17 18 19 20 25 
5	2	60	9	68.0	0.1467316	1 2 7 8 9 10 15 20 25 
5	2	90	0	117.0	0.2505048	1 6 7 8 13 18 23 24 25 
5	2	90	1	107.0	0.0682334	1 6 7 8 9 14 19 24 25 
5	2	90	2	140.0	0.0757253	1 6 11 16 17 18 23 24 25 
5	2	90	3	92.0	0.2494837	1 2 7 12 13 14 19 24 25 
5	2	90	4	134.0	0.3428279	1 2 7 12 13 18 19 24 25 
5	2	90	5	143.0	0.1530172	1 2 7 8 9 14 19 24 25 
5	2	90	6	128.0	0.0679136	1 6 7 12 17 22 23 24 25 
5	2	90	7	122.0	0.2981834	1 6 11 12 17 18 23 24 25 
5	2	90	8	130.0	0.0857506	1 2 3 8 13 14 19 20 25 
5	2	90	9	132.0	0.2418474	1 2 7 8 13 18 23 24 25 
5	4	30	0	97.0	0.2742174	1 2 7 8 13 14 19 20 25 
5	4	30	1	92.0	0.1982208	1 2 3 4 5 10 15 20 25 
